x,y,dx,dy
0,96,0,1
0,97,0,1
0,98,0,1
0,99,0,1
0,100,0,1
0,101,1,0
1,101,0,-1
1,100,0,-1
1,99,0,-1
1,98,0,-1
1,97,0,-1
1,96,1,0
2,96,0,1
2,97,0,1
2,98,0,1
2,99,0,1
2,100,0,1
2,101,0,1
2,102,0,1
2,103,0,1
2,104,0,1
2,105,0,1
2,106,0,1
2,107,-1,0
1,107,0,-1
1,106,0,-1
1,105,0,-1
1,104,0,-1
1,103,0,-1
1,102,-1,0
0,102,0,1
0,103,0,1
0,104,0,1
0,105,0,1
0,106,0,1
0,107,0,1
0,108,0,1
0,109,0,1
0,110,0,1
0,111,0,1
0,112,0,1
0,113,0,1
0,114,0,1
0,115,0,1
0,116,0,1
0,117,0,1
0,118,0,1
0,119,0,1
0,120,0,1
0,121,1,0
1,121,0,-1
1,120,0,-1
1,119,0,-1
1,118,0,-1
1,117,0,-1
1,116,0,-1
1,115,0,-1
1,114,0,-1
1,113,0,-1
1,112,0,-1
1,111,0,-1
1,110,0,-1
1,109,0,-1
1,108,1,0
2,108,1,0
3,108,0,-1
3,107,0,-1
3,106,0,-1
3,105,1,0
4,105,1,0
5,105,1,0
6,105,1,0
7,105,1,0
8,105,1,0
9,105,1,0
10,105,1,0
11,105,1,0
12,105,1,0
13,105,1,0
14,105,1,0
15,105,1,0
16,105,0,-1
16,104,0,-1
16,103,-1,-1
15,102,0,1
15,103,0,1
15,104,-1,0
14,104,0,-1
14,103,0,-1
14,102,0,-1
14,101,0,-1
14,100,1,1
15,101,1,1
16,102,1,1
17,103,1,1
18,104,1,1
19,105,0,1
19,106,0,1
19,107,0,1
19,108,-1,0
18,108,-1,0
17,108,-1,0
16,108,-1,0
15,108,-1,0
14,108,-1,0
13,108,-1,0
12,108,-1,0
11,108,-1,0
10,108,-1,0
9,108,-1,0
8,108,-1,0
7,108,-1,0
6,108,-1,0
5,108,0,-1
5,107,1,0
6,107,1,0
7,107,1,0
8,107,1,0
9,107,1,0
10,107,1,0
11,107,1,0
12,107,1,0
13,107,1,0
14,107,1,0
15,107,1,0
16,107,1,0
17,107,1,0
18,107,0,-1
18,106,0,-1
18,105,-1,-1
17,104,0,1
17,105,0,1
17,106,-1,0
16,106,-1,0
15,106,-1,0
14,106,-1,0
13,106,-1,0
12,106,-1,0
11,106,-1,0
10,106,-1,0
9,106,-1,0
8,106,-1,0
7,106,-1,0
6,106,-1,0
5,106,-1,0
4,106,0,1
4,107,0,1
4,108,0,1
4,109,0,1
4,110,-1,0
3,110,0,-1
3,109,-1,0
2,109,0,1
2,110,0,1
2,111,0,1
2,112,0,1
2,113,0,1
2,114,0,1
2,115,0,1
2,116,0,1
2,117,0,1
2,118,0,1
2,119,0,1
2,120,0,1
2,121,-1,1
1,122,-1,0
0,122,0,1
0,123,1,0
1,123,1,-1
2,122,0,1
2,123,1,0
3,123,0,-1
3,122,0,-1
3,121,0,-1
3,120,0,-1
3,119,0,-1
3,118,0,-1
3,117,0,-1
3,116,0,-1
3,115,0,-1
3,114,0,-1
3,113,1,0
4,113,0,1
4,114,0,1
4,115,0,1
4,116,0,1
4,117,0,1
4,118,0,1
4,119,0,1
4,120,0,1
4,121,0,1
4,122,1,0
5,122,1,0
6,122,1,0
7,122,0,-1
7,121,1,0
8,121,1,0
9,121,1,0
10,121,0,1
10,122,1,0
11,122,1,0
12,122,1,0
13,122,1,0
14,122,1,0
15,122,1,0
16,122,1,0
17,122,1,0
18,122,1,0
19,122,1,0
20,122,1,0
21,122,0,1
21,123,-1,0
20,123,-1,0
19,123,-1,0
18,123,-1,0
17,123,-1,0
16,123,-1,0
15,123,-1,0
14,123,-1,0
13,123,-1,0
12,123,-1,0
11,123,-1,0
10,123,-1,0
9,123,0,-1
9,122,-1,0
8,122,0,1
8,123,-1,0
7,123,-1,0
6,123,-1,0
5,123,-1,0
4,123,0,1
4,124,1,0
5,124,0,1
5,125,-1,0
4,125,-1,0
3,125,0,-1
3,124,-1,0
2,124,-1,0
1,124,-1,0
0,124,0,1
0,125,0,1
0,126,1,0
1,126,0,-1
1,125,1,0
2,125,0,1
2,126,1,0
3,126,1,0
4,126,1,0
5,126,1,0
6,126,1,0
7,126,0,-1
7,125,-1,0
6,125,0,-1
6,124,1,0
7,124,1,0
8,124,1,0
9,124,1,0
10,124,1,0
11,124,0,1
11,125,-1,0
10,125,-1,0
9,125,-1,0
8,125,0,1
8,126,1,0
9,126,1,0
10,126,1,0
11,126,1,0
12,126,1,0
13,126,1,0
14,126,1,0
15,126,1,0
16,126,1,0
17,126,1,0
18,126,1,0
19,126,0,-1
19,125,-1,0
18,125,-1,0
17,125,-1,0
16,125,-1,0
15,125,-1,0
14,125,-1,0
13,125,-1,0
12,125,0,-1
12,124,1,0
13,124,1,0
14,124,1,0
15,124,1,0
16,124,1,0
17,124,1,0
18,124,1,0
19,124,1,0
20,124,1,0
21,124,0,1
21,125,-1,0
20,125,0,1
20,126,1,0
21,126,1,0
22,126,1,0
23,126,1,0
24,126,1,0
25,126,1,0
26,126,0,-1
26,125,-1,0
25,125,-1,0
24,125,-1,0
23,125,-1,0
22,125,0,-1
22,124,1,0
23,124,1,0
24,124,1,0
25,124,1,0
26,124,1,0
27,124,1,0
28,124,1,0
29,124,0,1
29,125,-1,0
28,125,-1,0
27,125,0,1
27,126,1,0
28,126,1,0
29,126,1,0
30,126,1,0
31,126,1,0
32,126,1,0
33,126,1,0
34,126,1,0
35,126,1,0
36,126,1,0
37,126,0,-1
37,125,-1,0
36,125,-1,0
35,125,-1,0
34,125,-1,0
33,125,-1,0
32,125,-1,0
31,125,-1,0
30,125,0,-1
30,124,1,0
31,124,1,0
32,124,1,0
33,124,1,0
34,124,1,0
35,124,1,0
36,124,1,0
37,124,1,0
38,124,1,0
39,124,1,0
40,124,1,0
41,124,1,0
42,124,0,1
42,125,-1,0
41,125,-1,0
40,125,-1,0
39,125,-1,0
38,125,0,1
38,126,1,0
39,126,1,0
40,126,1,0
41,126,1,0
42,126,1,0
43,126,1,0
44,126,1,0
45,126,0,-1
45,125,-1,0
44,125,-1,0
43,125,0,-1
43,124,1,0
44,124,1,0
45,124,1,0
46,124,1,0
47,124,1,0
48,124,1,0
49,124,1,0
50,124,0,1
50,125,-1,0
49,125,-1,0
48,125,-1,0
47,125,-1,0
46,125,0,1
46,126,1,0
47,126,1,0
48,126,1,0
49,126,1,0
50,126,1,0
51,126,1,0
52,126,1,0
53,126,1,0
54,126,1,0
55,126,1,0
56,126,0,-1
56,125,-1,0
55,125,-1,0
54,125,-1,0
53,125,-1,0
52,125,-1,0
51,125,0,-1
51,124,1,0
52,124,1,0
53,124,1,0
54,124,1,0
55,124,1,0
56,124,1,0
57,124,1,0
58,124,1,0
59,124,1,0
60,124,1,0
61,124,1,0
62,124,1,0
63,124,0,1
63,125,-1,0
62,125,-1,0
61,125,-1,0
60,125,-1,0
59,125,-1,0
58,125,-1,0
57,125,0,1
57,126,1,0
58,126,1,0
59,126,1,0
60,126,1,0
61,126,1,0
62,126,1,0
63,126,1,0
64,126,0,-1
64,125,0,-1
64,124,1,0
65,124,1,0
66,124,0,1
66,125,-1,0
65,125,0,1
65,126,1,0
66,126,1,0
67,126,1,0
68,126,1,0
69,126,1,0
70,126,1,0
71,126,0,-1
71,125,-1,0
70,125,-1,0
69,125,-1,0
68,125,-1,0
67,125,0,-1
67,124,1,0
68,124,1,0
69,124,1,0
70,124,1,0
71,124,1,0
72,124,1,0
73,124,1,0
74,124,1,0
75,124,0,1
75,125,-1,0
74,125,-1,0
73,125,-1,0
72,125,0,1
72,126,1,0
73,126,1,0
74,126,1,0
75,126,1,0
76,126,1,0
77,126,1,0
78,126,1,0
79,126,1,0
80,126,1,0
81,126,1,0
82,126,1,0
83,126,0,-1
83,125,0,-1
83,124,1,0
84,124,1,0
85,124,1,0
86,124,0,1
86,125,-1,0
85,125,-1,0
84,125,0,1
84,126,1,0
85,126,1,0
86,126,1,0
87,126,1,0
88,126,1,0
89,126,1,0
90,126,0,-1
90,125,-1,0
89,125,-1,0
88,125,-1,0
87,125,0,-1
87,124,1,0
88,124,1,0
89,124,1,0
90,124,1,0
91,124,1,0
92,124,1,0
93,124,0,1
93,125,-1,0
92,125,-1,0
91,125,0,1
91,126,1,0
92,126,1,0
93,126,1,0
94,126,1,0
95,126,1,0
96,126,1,0
97,126,1,0
98,126,1,0
99,126,1,0
100,126,1,0
101,126,1,0
102,126,0,-1
102,125,0,-1
102,124,1,0
103,124,1,0
104,124,1,0
105,124,1,0
106,124,1,0
107,124,0,1
107,125,-1,0
106,125,-1,0
105,125,-1,0
104,125,-1,0
103,125,0,1
103,126,1,0
104,126,1,0
105,126,1,0
106,126,1,0
107,126,1,0
108,126,1,0
109,126,0,-1
109,125,-1,0
108,125,0,-1
108,124,1,0
109,124,1,0
110,124,1,0
111,124,1,0
112,124,0,1
112,125,-1,0
111,125,-1,0
110,125,0,1
110,126,1,0
111,126,1,0
112,126,1,0
113,126,1,0
114,126,1,0
115,126,1,0
116,126,1,0
117,126,1,0
118,126,1,0
119,126,1,0
120,126,1,0
121,126,1,0
122,126,1,0
123,126,1,0
124,126,1,0
125,126,1,0
126,126,0,-1
126,125,0,-1
126,124,-1,0
125,124,0,1
125,125,-1,0
124,125,0,-1
124,124,-1,0
123,124,0,1
123,125,-1,0
122,125,0,-1
122,124,-1,0
121,124,0,1
121,125,-1,0
120,125,-1,0
119,125,-1,0
118,125,-1,0
117,125,-1,0
116,125,-1,0
115,125,-1,0
114,125,-1,0
113,125,0,-1
113,124,1,0
114,124,1,0
115,124,1,0
116,124,1,0
117,124,1,0
118,124,1,0
119,124,1,0
120,124,0,-1
120,123,-1,0
119,123,-1,0
118,123,-1,0
117,123,-1,0
116,123,-1,0
115,123,-1,0
114,123,-1,0
113,123,-1,0
112,123,-1,0
111,123,-1,0
110,123,-1,0
109,123,-1,0
108,123,-1,0
107,123,-1,0
106,123,-1,0
105,123,-1,0
104,123,-1,0
103,123,0,-1
103,122,1,0
104,122,1,0
105,122,1,0
106,122,1,0
107,122,1,0
108,122,1,0
109,122,1,0
110,122,1,0
111,122,1,0
112,122,1,0
113,122,1,0
114,122,1,0
115,122,1,0
116,122,1,0
117,122,1,0
118,122,1,0
119,122,1,0
120,122,1,0
121,122,0,1
121,123,1,0
122,123,0,-1
122,122,1,0
123,122,0,1
123,123,1,0
124,123,1,0
125,123,1,0
126,123,0,-1
126,122,-1,0
125,122,-1,0
124,122,0,-1
124,121,-1,0
123,121,-1,0
122,121,-1,0
121,121,-1,0
120,121,0,-1
120,120,1,0
121,120,1,0
122,120,1,0
123,120,1,0
124,120,0,-1
124,119,1,0
125,119,0,1
125,120,0,1
125,121,1,0
126,121,0,-1
126,120,0,-1
126,119,0,-1
126,118,-1,0
125,118,-1,0
124,118,0,-1
124,117,1,0
125,117,1,0
126,117,0,-1
126,116,-1,0
125,116,-1,0
124,116,-1,0
123,116,0,1
123,117,-1,0
122,117,0,-1
122,116,-1,0
121,116,0,1
121,117,0,1
121,118,1,0
122,118,1,0
123,118,0,1
123,119,-1,0
122,119,-1,0
121,119,-1,0
120,119,0,-1
120,118,-1,0
119,118,0,1
119,119,0,1
119,120,0,1
119,121,-1,0
118,121,-1,0
117,121,-1,0
116,121,-1,0
115,121,-1,0
114,121,-1,0
113,121,-1,0
112,121,-1,0
111,121,-1,0
110,121,-1,0
109,121,-1,0
108,121,-1,0
107,121,0,-1
107,120,0,-1
107,119,0,-1
107,118,1,0
108,118,1,0
109,118,1,0
110,118,0,1
110,119,-1,0
109,119,-1,0
108,119,0,1
108,120,1,0
109,120,1,0
110,120,1,0
111,120,1,0
112,120,0,-1
112,119,-1,0
111,119,0,-1
111,118,1,0
112,118,0,-1
112,117,1,0
113,117,1,0
114,117,1,0
115,117,0,1
115,118,0,1
115,119,-1,0
114,119,0,-1
114,118,-1,0
113,118,0,1
113,119,0,1
113,120,1,0
114,120,1,0
115,120,1,0
116,120,0,-1
116,119,0,-1
116,118,1,0
117,118,0,1
117,119,0,1
117,120,1,0
118,120,0,-1
118,119,0,-1
118,118,0,-1
118,117,1,0
119,117,1,0
120,117,0,-1
120,116,-1,0
119,116,-1,0
118,116,-1,0
117,116,0,1
117,117,-1,0
116,117,0,-1
116,116,-1,0
115,116,-1,0
114,116,-1,0
113,116,-1,0
112,116,-1,0
111,116,0,1
111,117,-1,0
110,117,0,-1
110,116,-1,0
109,116,0,1
109,117,-1,0
108,117,0,-1
108,116,-1,0
107,116,0,1
107,117,-1,0
106,117,0,-1
106,116,-1,0
105,116,-1,0
104,116,-1,0
103,116,0,1
103,117,1,0
104,117,1,0
105,117,0,1
105,118,1,0
106,118,0,1
106,119,-1,0
105,119,0,1
105,120,1,0
106,120,0,1
106,121,-1,0
105,121,-1,0
104,121,-1,0
103,121,-1,0
102,121,-1,0
101,121,0,-1
101,120,1,0
102,120,1,0
103,120,1,0
104,120,0,-1
104,119,0,-1
104,118,-1,0
103,118,0,1
103,119,-1,0
102,119,0,-1
102,118,0,-1
102,117,0,-1
102,116,-1,0
101,116,0,1
101,117,-1,0
100,117,0,1
100,118,1,0
101,118,0,1
101,119,-1,0
100,119,0,1
100,120,-1,0
99,120,-1,0
98,120,-1,0
97,120,-1,0
96,120,-1,0
95,120,0,-1
95,119,1,0
96,119,1,0
97,119,0,-1
97,118,1,0
98,118,0,1
98,119,1,0
99,119,0,-1
99,118,0,-1
99,117,-1,0
98,117,-1,0
97,117,-1,0
96,117,0,1
96,118,-1,0
95,118,-1,0
94,118,0,1
94,119,-1,0
93,119,-1,0
92,119,-1,0
91,119,0,-1
91,118,1,0
92,118,1,0
93,118,0,-1
93,117,-1,0
92,117,-1,0
91,117,-1,0
90,117,-1,0
89,117,0,1
89,118,1,0
90,118,0,1
90,119,-1,0
89,119,-1,0
88,119,0,-1
88,118,-1,0
87,118,0,1
87,119,0,1
87,120,1,0
88,120,1,0
89,120,1,0
90,120,1,0
91,120,1,0
92,120,1,0
93,120,1,0
94,120,0,1
94,121,1,0
95,121,1,0
96,121,1,0
97,121,1,0
98,121,1,0
99,121,1,0
100,121,0,1
100,122,1,0
101,122,1,0
102,122,0,1
102,123,-1,0
101,123,-1,0
100,123,0,1
100,124,1,0
101,124,0,1
101,125,-1,0
100,125,-1,0
99,125,0,-1
99,124,-1,0
98,124,0,1
98,125,-1,0
97,125,-1,0
96,125,-1,0
95,125,-1,0
94,125,0,-1
94,124,1,0
95,124,1,0
96,124,1,0
97,124,0,-1
97,123,1,0
